,,,,,,,
,Date,Description,Out,In,Balance,Check,
,31-Mar-25,OVERDRAFT INTEREST,467.35,,"$52,503.58 ",FALSE,
," Mar 31, 2025",MONTHLY PLAN FEE,125,,"$52,970.93 ",FALSE,
," Mar 31, 2025",Plooto Inc AP,500.00,,"$53,095.93 ",FALSE,
," Mar 31, 2025",LOAN ADMIN FEES,100.00,,"$53,595.93 ",FALSE,
," Mar 31, 2025",PROSERVEIT CORP BPY,,"3,390.00","$53,695.93 ",FALSE,
," Mar 31, 2025",STRIPE MSP,,192.93,"$50,305.93 ",FALSE,
," Mar 28, 2025",VISTASECURITY AP,,113.00,"$50,113.00 ",FALSE,
," Mar 28, 2025",JJ070 TFR-FR 5278350,,"63,088.99","$50,000.00 ",FALSE,
," Mar 28, 2025",JI491 TFR-FR 5248540,,"23,862.66","($13,088.99)",FALSE,
," Mar 28, 2025",View more SEND E-TFR *Xag BPY,331.89,,"($36,951.65)",FALSE,
,,View more SEND E-TFR *Xag BPY,,,,FALSE,
," Mar 28, 2025",STRIPE MSP,,"4,855.56","($36,619.76)",FALSE,
," Mar 27, 2025",Plooto Inc AP,"12,033.00",,"($41,475.32)",FALSE,
," Mar 27, 2025",AMERICAN TALL AP,,"7,684.00","($29,442.32)",FALSE,
," Mar 27, 2025",View more E-TFR ***z4h BPY,,"3,107.50","($37,126.32)",FALSE,
,,View more E-TFR ***z4h BPY,,,,FALSE,
," Mar 27, 2025",IG174 TFR-TO C/C,"3,500.00",,"($40,233.82)",FALSE,
," Mar 26, 2025",Plooto Inc AP,"1,724.77",,"($36,733.82)",FALSE,
," Mar 26, 2025",SCSTC AP,,565.00,"($35,009.05)",FALSE,
," Mar 26, 2025",View more E-TRANSFER ***qe2,,"1,186.50","($35,574.05)",FALSE,
,,View more E-TRANSFER ***qe2,,,,FALSE,
," Mar 26, 2025",View more SEND E-TFR ***Dn9,"2,000.00",,"($36,760.55)",FALSE,
,,View more SEND E-TFR ***Dn9,,,,FALSE,
," Mar 26, 2025",HH414 TFR-TO 6045989,"1,049.00",,"($34,760.55)",FALSE,
," Mar 26, 2025",HG070 TFR-FR 5278350,,"100,000.00","($33,711.55)",FALSE,
," Mar 25, 2025",EMPTX 4771524 BUS,"40,490.24",,"($133,711.55)",FALSE,
," Mar 25, 2025",Plooto Inc AP,"4,514.80",,"($93,221.31)",FALSE,
," Mar 25, 2025",Plooto Inc AP,"3,390.00",,"($88,706.51)",FALSE,
," Mar 25, 2025",WAGEPOINT PAY,"43,044.76",,"($85,316.51)",FALSE,
," Mar 25, 2025",View more E-TRANSFER ***zPW,,282.50,"($42,271.75)",FALSE,
,,View more E-TRANSFER ***zPW,,,,FALSE,
," Mar 25, 2025",WW510 TFR-FR 5272050,,"6,104.00","($42,554.25)",FALSE,
," Mar 25, 2025",3 D STORAGE SYS BUS,,678.00,"($48,658.25)",FALSE,
," Mar 25, 2025",STRIPE MSP,,459.88,"($49,336.25)",FALSE,
," Mar 24, 2025",GST-P 1103020 BUS,"11,322.00",,"($49,796.13)",FALSE,
," Mar 24, 2025",Plooto Inc AP,500.00,,"($38,474.13)",FALSE,
," Mar 24, 2025",LZ230 TFR-TO C/C,"2,000.00",,"($37,974.13)",FALSE,
," Mar 24, 2025",LL072 TFR-TO C/C,"2,500.00",,"($35,974.13)",FALSE,
," Mar 24, 2025",View more SEND E-TFR ***kBV,"1,243.00",,"($33,474.13)",FALSE,
,,View more SEND E-TFR ***kBV,,,,FALSE,
," Mar 24, 2025",AMEX CARDS A2H2Z5,"5,000.00",,"($32,231.13)",FALSE,
," Mar 21, 2025",RDC Billing,40.00,,"($27,231.13)",FALSE,
," Mar 21, 2025",Plooto Inc AP,"5,210.50",,"($27,191.13)",FALSE,
," Mar 21, 2025",Mircom Technolo MSP,,"7,910.00","($21,980.63)",FALSE,
," Mar 21, 2025",PAYPAL MSP,,"1,039.58","($29,890.63)",FALSE,
," Mar 21, 2025",AMEX CARDS Z7L5U9,"2,500.00",,"($30,930.21)",FALSE,
," Mar 21, 2025",View more SEND E-TFR ***Rb8,816.43,,"($28,430.21)",FALSE,
,,View more SEND E-TFR ***Rb8,,,,FALSE,
," Mar 21, 2025",JQ471 TFR-TO C/C,"2,500.00",,"($27,613.78)",FALSE,
," Mar 21, 2025",STRIPE MSP,,"1,251.06","($25,113.78)",FALSE,
," Mar 20, 2025",Apple Canada In BUS,478.13,,"($26,364.84)",FALSE,
," Mar 20, 2025",Apple Canada In BUS,140.79,,"($25,886.71)",FALSE,
," Mar 20, 2025",Plooto Inc AP,"1,750.00",,"($25,745.92)",FALSE,
," Mar 20, 2025",PAYPAL MSP,101.16,,"($23,995.92)",FALSE,
," Mar 20, 2025",INLAND AND MARI AP,,28.25,"($23,894.76)",FALSE,
," Mar 20, 2025",IO322 TFR-TO C/C,"4,500.00",,"($23,923.01)",FALSE,
," Mar 20, 2025",View more SEND E-TFR ***ZMj,"1,889.18",,"($19,423.01)",FALSE,
,,View more SEND E-TFR ***ZMj,,,,FALSE,
," Mar 20, 2025",STRIPE MSP,,192.93,"($17,533.83)",FALSE,
," Mar 19, 2025",Plooto Inc AP,"1,001.00",,"($17,726.76)",FALSE,
," Mar 19, 2025",Plooto TX491446 MSP,,"5,815.32","($16,725.76)",FALSE,
," Mar 19, 2025",View more SEND E-TFR ***F9t,150.00,,"($22,541.08)",FALSE,
,,View more SEND E-TFR ***F9t,,,,FALSE,
," Mar 19, 2025",HQ394 TFR-TO C/C,"2,500.00",,"($22,391.08)",FALSE,
," Mar 19, 2025",BUREAU VERITAS MSP,,226.00,"($19,891.08)",FALSE,
," Mar 18, 2025",Apple Canada In BUS,404.41,,"($20,117.08)",FALSE,
," Mar 18, 2025",Apple Canada In BUS,361.97,,"($19,712.67)",FALSE,
," Mar 18, 2025",Plooto Inc AP,"1,802.67",,"($19,350.70)",FALSE,
," Mar 18, 2025",WAGEPOINT PAY,"46,339.24",,"($17,548.03)",FALSE,
," Mar 18, 2025",WJ220 TFR-TO C/C,"2,000.00",,"$28,791.21 ",FALSE,
," Mar 18, 2025",WI573 TFR-TO C/C,500.00,,"$30,791.21 ",FALSE,
," Mar 18, 2025",GC 0307-DEPOSIT,,"22,841.44","$31,291.21 ",FALSE,
," Mar 18, 2025",2259857 Ontario MSP,,"10,170.00","$8,449.77 ",FALSE,
," Mar 18, 2025",STRIPE MSP,,95.71,"($1,720.23)",FALSE,
," Mar 17, 2025",TD BUS CREDIT INS,30.24,,"($1,815.94)",FALSE,
," Mar 17, 2025",TD BUS CREDIT INS,26.83,,"($1,785.70)",FALSE,
," Mar 17, 2025",BDC BUS,"5,862.18",,"($1,758.87)",FALSE,
," Mar 17, 2025",BDC BUS,"2,479.88",,"$4,103.31 ",FALSE,
," Mar 17, 2025",BDC BUS,"2,268.32",,"$6,583.19 ",FALSE,
," Mar 17, 2025",BDC BUS,377.43,,"$8,851.51 ",FALSE,
," Mar 17, 2025",Plooto Inc AP,500.00,,"$9,228.94 ",FALSE,
," Mar 17, 2025",NT POWER BPY,358.98,,"$9,728.94 ",FALSE,
," Mar 17, 2025",RL022 TFR-TO C/C,"1,200.00",,"$10,087.92 ",FALSE,
," Mar 17, 2025",250317S9711100WIRE,,791.00,"$11,287.92 ",FALSE,
," Mar 17, 2025",RI131 TFR-TO C/C,"2,500.00",,"$10,496.92 ",FALSE,
," Mar 17, 2025",STRIPE MSP,,548.31,"$12,996.92 ",FALSE,
," Mar 17, 2025",PTS TO: 31025272050,"1,001.00",,"$12,448.61 ",FALSE,
," Mar 17, 2025",View more E-TRANSFER ***8dZ,,"1,130.00","$13,449.61 ",FALSE,
,,View more E-TRANSFER ***8dZ,,,,FALSE,
," Mar 17, 2025",UJ204 TFR-FR 5278350,,"65,000.00","$12,319.61 ",FALSE,
," Mar 17, 2025",UJ195 TFR-FR 5278350,,"65,000.00","($52,680.39)",FALSE,
," Mar 17, 2025",CARERX CORPORAT AP,,853.15,"($117,680.39)",FALSE,
," Mar 14, 2025",HYUNDAI PMNT CT MSP,966.16,,"($118,533.54)",FALSE,
," Mar 14, 2025",PAYPAL MSP,606.15,,"($117,567.38)",FALSE,
," Mar 14, 2025",PAYPAL MSP,414.06,,"($116,961.23)",FALSE,
," Mar 14, 2025",Rock Solid MSP,,548.05,"($116,547.17)",FALSE,
," Mar 14, 2025",JG350 TFR-TO C/C,"2,500.00",,"($117,095.22)",FALSE,
," Mar 14, 2025",AMERICAN TALL AP,,"1,695.00","($114,595.22)",FALSE,
," Mar 14, 2025",DUFFERIN CHILD AP,,197.75,"($116,290.22)",FALSE,
," Mar 13, 2025",BDC BUS,185.86,,"($116,487.97)",FALSE,
," Mar 13, 2025",Plooto Inc AP,"6,750.00",,"($116,302.11)",FALSE,
," Mar 13, 2025",FIRST INSURANCE LOAN,"1,205.13",,"($109,552.11)",FALSE,
," Mar 13, 2025",SPL LOAN,"1,458.38",,"($108,346.98)",FALSE,
," Mar 13, 2025",RGRS 12 DIGT Q2L5K8,172.88,,"($106,888.60)",FALSE,
," Mar 13, 2025",407 ETR Q2L5K7,"1,335.65",,"($106,715.72)",FALSE,
," Mar 13, 2025",MOBILE DEPOSIT,,717.55,"($105,380.07)",FALSE,
," Mar 13, 2025",VALOR SPECIALTY AP,,39.49,"($106,097.62)",FALSE,
," Mar 13, 2025",STRIPE MSP,,"2,214.33","($106,137.11)",FALSE,
," Mar 12, 2025",Plooto Inc AP,"7,573.92",,"($108,351.44)",FALSE,
," Mar 12, 2025",HR253 TFR-TO C/C,"1,000.00",,"($100,777.52)",FALSE,
," Mar 12, 2025",HH192 TFR-TO C/C,"2,000.00",,"($99,777.52)",FALSE,
," Mar 11, 2025",WAGEPOINT PAY,"45,270.99",,"($97,777.52)",FALSE,
," Mar 11, 2025",Plooto TX489186 MSP,,"3,619.76","($52,506.53)",FALSE,
," Mar 11, 2025",WQ392 TFR-FR 5278350,,"50,000.00","($56,126.29)",FALSE,
," Mar 11, 2025",STRIPE MSP,,"2,418.81","($106,126.29)",FALSE,
," Mar 10, 2025",RY321 TFR-TO C/C,"1,000.00",,"($108,545.10)",FALSE,
," Mar 10, 2025",EMPTX 7720296 BUS,"40,544.66",,"($107,545.10)",FALSE,
," Mar 10, 2025",Plooto Inc AP,500.00,,"($67,000.44)",FALSE,
," Mar 10, 2025",CFIB/FCEI EXP,39.55,,"($66,500.44)",FALSE,
," Mar 10, 2025",CL GRP INSURED INS,"12,903.89",,"($66,460.89)",FALSE,
," Mar 10, 2025",MHBC AP,,"1,186.50","($53,557.00)",FALSE,
," Mar 10, 2025",Bill.com MSP,,"2,400.59","($54,743.50)",FALSE,
," Mar 10, 2025",View more E-TFR ***CDD BPY,,"3,107.50","($57,144.09)",FALSE,
,,View more E-TFR ***CDD BPY,,,,FALSE,
," Mar 10, 2025",RH593 TFR-TO C/C,"2,500.00",,"($60,251.59)",FALSE,
," Mar 10, 2025",STRIPE MSP,,408.57,"($57,751.59)",FALSE,
," Mar 10, 2025",PTS TO: 31025272050,"1,001.00",,"($58,160.16)",FALSE,
," Mar 10, 2025",Spec. Gasket MSP,,"5,085.00","($57,159.16)",FALSE,
," Mar 07, 2025",HPFS Canada Co BUS,19.08,,"($62,244.16)",FALSE,
," Mar 07, 2025",Plooto Inc AP,"2,408.29",,"($62,225.08)",FALSE,
," Mar 07, 2025",WAGEPOINT PAY,74.58,,"($59,816.79)",FALSE,
," Mar 07, 2025",ENSIGN DRILLING MSP,,"3,150.00","($59,742.21)",FALSE,
," Mar 07, 2025",Rock Solid MSP,,"2,768.50","($62,892.21)",FALSE,
," Mar 07, 2025",407 ETR K4A2A9,572.04,,"($65,660.71)",FALSE,
," Mar 07, 2025",View more SEND E-TFR *7pQ BPY,492.51,,"($65,088.67)",FALSE,
,,View more SEND E-TFR *7pQ BPY,,,,FALSE,
," Mar 07, 2025",THE CANADIAN PL AP,,678.00,"($64,596.16)",FALSE,
," Mar 06, 2025",Apple Canada In BUS,238.17,,"($65,274.16)",FALSE,
," Mar 06, 2025",Plooto Inc AP,"4,514.91",,"($65,035.99)",FALSE,
," Mar 06, 2025",ACCERTA MSP,,"2,825.00","($60,521.08)",FALSE,
," Mar 06, 2025",IT243 TFR-TO C/C,"5,000.00",,"($63,346.08)",FALSE,
," Mar 06, 2025",MEDEC AP,,226,"($58,346.08)",FALSE,
," Mar 06, 2025",PAYPAL MSP,,"2,685.42","($58,572.08)",FALSE,
," Mar 06, 2025",View more E-TRANSFER ***ck9,,39.49,"($61,257.50)",FALSE,
,,View more E-TRANSFER ***ck9,,,,FALSE,
," Mar 06, 2025",IW573 TFR-TO C/C,"1,500.00",,"($61,296.99)",FALSE,
," Mar 06, 2025",IW210 TFR-TO C/C,"2,500.00",,"($59,796.99)",FALSE,
," Mar 06, 2025",IH140 TFR-TO C/C,"2,500.00",,"($57,296.99)",FALSE,
," Mar 06, 2025",Stealth EXP,,"1,638.50","($54,796.99)",FALSE,
," Mar 06, 2025",STRIPE MSP,,302.05,"($56,435.49)",FALSE,
," Mar 05, 2025",GST-P 4997250 BUS,"20,000.00",,"($56,737.54)",FALSE,
," Mar 05, 2025",GST-P 4998170 BUS,15.00,,"($36,737.54)",FALSE,
," Mar 05, 2025",AMLB LLP AP,"1,130.00",,"($36,722.54)",FALSE,
," Mar 05, 2025",Plooto Inc AP,"1,001.00",,"($35,592.54)",FALSE,
," Mar 05, 2025",PAYPAL MSP,"1,306.14",,"($34,591.54)",FALSE,
," Mar 05, 2025",View more E-TRANSFER ***Er6,,"1,412.50","($33,285.40)",FALSE,
,,View more E-TRANSFER ***Er6,,,,FALSE,
," Mar 05, 2025",Plooto TX487669 MSP,,"14,931.78","($34,697.90)",FALSE,
," Mar 05, 2025",HQ103 TFR-TO C/C,"1,000.00",,"($49,629.68)",FALSE,
," Mar 05, 2025",HQ101 TFR-TO C/C,750.00,,"($48,629.68)",FALSE,
," Mar 05, 2025",HQ100 TFR-TO C/C,"4,500.00",,"($47,879.68)",FALSE,
," Mar 05, 2025",STRIPE MSP,,"1,015.55","($43,379.68)",FALSE,
," Mar 04, 2025",Plooto Inc AP,"2,020.89",,"($44,395.23)",FALSE,
," Mar 04, 2025",Plooto Billing AP,42.50,,"($42,374.34)",FALSE,
," Mar 04, 2025",WAGEPOINT PAY,"42,497.76",,"($42,331.84)",FALSE,
," Mar 04, 2025",Plooto TX487300 MSP,,"6,034.76",$165.92 ,FALSE,
," Mar 04, 2025",PAYPAL MSP,,"2,193.57","($5,868.84)",FALSE,
," Mar 04, 2025",WI563 TFR-FR 5278350,,"28,000.00","($8,062.41)",FALSE,
," Mar 04, 2025",MOBILE DEPOSIT,,"5,650.00","($36,062.41)",FALSE,
," Mar 04, 2025",GC 0307-DEPOSIT,,"21,390.73","($41,712.41)",FALSE,
," Mar 04, 2025",STRIPE MSP,,741.24,"($63,103.14)",FALSE,
," Mar 04, 2025",BDC LOAN,,"75,000.00","($63,844.38)",FALSE,
," Mar 03, 2025",TAX PYT FEE,6.00,,"($138,844.38)",FALSE,
," Mar 03, 2025",Apple Canada In BUS,402.99,,"($138,838.38)",FALSE,
," Mar 03, 2025",Plooto Inc AP,"3,090.00",,"($138,435.39)",FALSE,
," Mar 03, 2025",TEC CANADA MSP,"2,141.35",,"($135,345.39)",FALSE,
," Mar 03, 2025",PAYPAL MSP,,"5,231.38","($133,204.04)",FALSE,
," Mar 03, 2025",PAYPAL MSP,,136.85,"($138,435.42)",FALSE,
," Mar 03, 2025",PTS TO: 31025272050,"1,001.00",,"($138,572.27)",FALSE,
," Mar 03, 2025",View more E-TRANSFER ***yW9,,39.49,"($137,571.27)",FALSE,
,,View more E-TRANSFER ***yW9,,,,FALSE,
," Mar 03, 2025",UW574 TFR-FR 5278350,,"11,000.00","($137,610.76)",FALSE,
," Mar 03, 2025",View more E-TRANSFER ***cVw,,282.50,"($148,610.76)",FALSE,
,,View more E-TRANSFER ***cVw,,,,FALSE,
," Mar 03, 2025",SEXTON'S MECHAN AP,,39.49,"($148,893.26)",FALSE,
,,,,,,,
